Rank,Change,Team,Total_Points,Previous_Points,PlusMinus,Matches,Update_Date
1, ,Argentina,1442,1425,+17, ,2015-09-03
2, ,Belgium,1269,1244,+25, ,2015-09-03
3, ,Germany,1248,1226,+22, ,2015-09-03
4, ,Colombia,1224,1218,+6, ,2015-09-03
5, ,Brazil,1209,1186,+23, ,2015-09-03
6, ,Portugal,1186,1177,+9, ,2015-09-03
7, ,Romania,1176,1166,+10, ,2015-09-03
8,2,Chile,1149,1124,+25, ,2015-09-03
9, ,Wales,1146,1155,-9, ,2015-09-03
10,2,England,1143,1157,-14, ,2015-09-03
11, ,Spain,1122,1110,+12, ,2015-09-03
12, ,Netherlands,1054,1032,+22, ,2015-09-03
13,1,Austria,1038,1016,+22, ,2015-09-03
14,1,Croatia,1037,1023,+14, ,2015-09-03
15,1,Slovakia,1013,1016,-3, ,2015-09-03
16, ,Italy,1012,1001,+11, ,2015-09-03
17, ,Switzerland,1011,997,+14, ,2015-09-03
18, ,Uruguay,1002,988,+14, ,2015-09-03
19, ,Algeria,955,941,+14, ,2015-09-03
20, ,Czech Republic,940,933,+7, ,2015-09-03
1, ,Argentina,1442,1425,+17, ,2015-09-03
2, ,Belgium,1269,1244,+25, ,2015-09-03
3, ,Germany,1248,1226,+22, ,2015-09-03
4, ,Colombia,1224,1218,+6, ,2015-09-03
5, ,Brazil,1209,1186,+23, ,2015-09-03
6, ,Portugal,1186,1177,+9, ,2015-09-03
7, ,Romania,1176,1166,+10, ,2015-09-03
8,2,Chile,1149,1124,+25, ,2015-09-03
9, ,Wales,1146,1155,-9, ,2015-09-03
10,2,England,1143,1157,-14, ,2015-09-03
11, ,Spain,1122,1110,+12, ,2015-09-03
12, ,Netherlands,1054,1032,+22, ,2015-09-03
13,1,Austria,1038,1016,+22, ,2015-09-03
14,1,Croatia,1037,1023,+14, ,2015-09-03
15,1,Slovakia,1013,1016,-3, ,2015-09-03
16, ,Italy,1012,1001,+11, ,2015-09-03
17, ,Switzerland,1011,997,+14, ,2015-09-03
18, ,Uruguay,1002,988,+14, ,2015-09-03
19, ,Algeria,955,941,+14, ,2015-09-03
20, ,Czech Republic,940,933,+7, ,2015-09-03
